# {'par': {'k': 1.5; 'D': 0.75; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': '(D_0.75)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,instances
-9.35,-68.5,[ -9.34513459 -68.47216419],4.782987168225453e-15,8.992765401928909e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.73762198,  0.6752139 ],
       [-0.6752139 , -0.73762198]]), 'r': array([6.38864347e+00, 2.67632431e-06, 6.38864401e+00]), 'qtf': array([9.72603978e-11, 3.57254994e-11]), 'fvec': array([1.77635684e-15, 4.44089210e-15])}",72
-9.85,-75.9,[ 1. 68.],2.7052254016873543e-12,1.1247884091940336e-09,1,The solution converged.,"{'nfev': 7, 'fjac': array([[-0.73575644,  0.67724623],
       [-0.67724623, -0.73575644]]), 'r': array([ 6.69008461e+00, -2.69294273e-03,  6.68457531e+00]), 'qtf': array([ 1.29419418e-10, -3.32674406e-09]), 'fvec': array([-1.76214598e-12, -2.05258033e-12])}",63
-9.85,75.9,[-9.8500137  75.88363119],9.441466109136565e-15,4.099037227506402e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.736051  , -0.67692608],
       [ 0.67692608, -0.736051  ]]), 'r': array([6.68996730e+00, 3.02210149e-06, 6.68996757e+00]), 'qtf': array([-9.24158487e-14, -2.70364639e-12]), 'fvec': array([ 6.21724894e-15, -7.10542736e-15])}",63
-10.3,-83.3,[ 1. 76.],1.590163394357896e-11,9.324354556207735e-09,1,The solution converged.,"{'nfev': 11, 'fjac': array([[-0.73716501,  0.67571277],
       [-0.67571277, -0.73716501]]), 'r': array([ 7.06415471, -0.26919633,  6.89118315]), 'qtf': array([-8.88832977e-08, -2.60990975e-08]), 'fvec': array([-1.42668100e-11,  7.02282676e-12])}",59
-10.3,83.3,[-10.3296669   83.31500739],4.470105896871821e-14,2.6043964795965355e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.73470131, -0.67839073],
       [ 0.67839073, -0.73470131]]), 'r': array([6.97773463e+00, 3.79541886e-06, 6.97773478e+00]), 'qtf': array([ 1.52460646e-11, -4.51879163e-12]), 'fvec': array([ 1.59872116e-14, -4.17443857e-14])}",59
-10.8,90.8,[-8. 82.],4.4860132644399465e-13,3.615913487947331e-10,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.73356149, -0.67962308],
       [ 0.67962308, -0.73356149]]), 'r': array([7.25419030e+00, 1.58658188e-03, 7.25229616e+00]), 'qtf': array([-4.26257684e-10, -1.12966209e-09]), 'fvec': array([4.48530102e-13, 7.99360578e-15])}",68
-10.8,-90.8,[-10.78740361 -90.76381514],7.099318504939079e-14,3.1757518194205274e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.73352593,  0.67966147],
       [-0.67966147, -0.73352593]]), 'r': array([7.25362968e+00, 4.27805770e-06, 7.25363037e+00]), 'qtf': array([-3.34441407e-13, -2.98985109e-13]), 'fvec': array([4.88498131e-14, 5.15143483e-14])}",68
-11.2,-98.2,[ 2. 90.],2.765885657995233e-10,3.060015590269928e-07,1,The solution converged.,"{'nfev': 30, 'fjac': array([[-0.72356777,  0.69025334],
       [-0.69025334, -0.72356777]]), 'r': array([7.65706164, 0.07196527, 7.39849147]), 'qtf': array([-6.22453577e-08,  3.95710585e-08]), 'fvec': array([ 5.34994271e-11, -2.71365153e-10])}",63
-11.2,98.2,[-11.22587606  98.22805303],8.281043321397526e-14,5.55685632949103e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.73249062, -0.68077713],
       [ 0.68077713, -0.73249062]]), 'r': array([7.51901245e+00, 4.74338105e-06, 7.51901267e+00]), 'qtf': array([-2.23927018e-10, -1.62351241e-10]), 'fvec': array([-5.15143483e-14,  6.48370246e-14])}",63
-11.6,-106.0,[-1. 90.],1.0300238543865638e-10,1.5392382776760778e-07,1,The solution converged.,"{'nfev': 12, 'fjac': array([[ 0.71935673, -0.69464084],
       [ 0.69464084,  0.71935673]]), 'r': array([-8.03007614, -0.20047091, -7.59159878]), 'qtf': array([ 1.48421226e-08, -8.75870865e-09]), 'fvec': array([ 3.12478932e-11, -9.81481563e-11])}",5
-11.6,106.0,[-11.64724766 105.70607636],5.702354471024237e-14,1.3380704151392886e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.73156991, -0.68176643],
       [ 0.68176643, -0.73156991]]), 'r': array([7.77500003e+00, 5.30620595e-06, 7.77500043e+00]), 'qtf': array([-8.97741364e-11, -5.04984737e-11]), 'fvec': array([ 4.52970994e-14, -3.46389584e-14])}",5
